2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 WARN  no build target for: /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:50 WARN  no build target for: /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:51 INFO  no build target found for /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:51 INFO  no build target found for /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:51 INFO  no build target found for /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:51 WARN  no build target for: /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala
2025.09.22 21:24:50 INFO  no build target found for /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:57 INFO  no build target found for /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:57 INFO  no build target found for /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
